date,CMCSA,isPartial
2016-08-21,15,False
2016-08-28,32,False
2016-09-04,20,False
2016-09-11,17,False
2016-09-18,34,False
2016-09-25,28,False
2016-10-02,11,False
2016-10-09,11,False
2016-10-16,17,False
2016-10-23,25,False
2016-10-30,29,False
2016-11-06,30,False
2016-11-13,39,False
2016-11-20,8,False
2016-11-27,24,False
2016-12-04,21,False
2016-12-11,38,False
2016-12-18,32,False
2016-12-25,17,False
2017-01-01,50,False
2017-01-08,45,False
2017-01-15,28,False
2017-01-22,65,False
2017-01-29,43,False
2017-02-05,23,False
2017-02-12,23,False
2017-02-19,80,False
2017-02-26,53,False
2017-03-05,40,False
2017-03-12,30,False
2017-03-19,26,False
2017-03-26,36,False
2017-04-02,23,False
2017-04-09,13,False
2017-04-16,46,False
2017-04-23,64,False
2017-04-30,65,False
2017-05-07,44,False
2017-05-14,24,False
2017-05-21,33,False
2017-05-28,33,False
2017-06-04,32,False
2017-06-11,55,False
2017-06-18,35,False
2017-06-25,25,False
2017-07-02,37,False
2017-07-09,42,False
2017-07-16,42,False
2017-07-23,55,False
2017-07-30,40,False
2017-08-06,37,False
2017-08-13,27,False
2017-08-20,26,False
2017-08-27,32,False
2017-09-03,45,False
2017-09-10,46,False
2017-09-17,44,False
2017-09-24,39,False
2017-10-01,52,False
2017-10-08,46,False
2017-10-15,54,False
2017-10-22,46,False
2017-10-29,44,False
2017-11-05,30,False
2017-11-12,27,False
2017-11-19,53,False
2017-11-26,37,False
2017-12-03,45,False
2017-12-10,70,False
2017-12-17,42,False
2017-12-24,37,False
2017-12-31,45,False
2018-01-07,34,False
2018-01-14,36,False
2018-01-21,46,False
2018-01-28,53,False
2018-02-04,42,False
2018-02-11,51,False
2018-02-18,39,False
2018-02-25,73,False
2018-03-04,41,False
2018-03-11,40,False
2018-03-18,36,False
2018-03-25,40,False
2018-04-01,64,False
2018-04-08,49,False
2018-04-15,29,False
2018-04-22,71,False
2018-04-29,54,False
2018-05-06,76,False
2018-05-13,54,False
2018-05-20,59,False
2018-05-27,47,False
2018-06-03,46,False
2018-06-10,100,False
2018-06-17,88,False
2018-06-24,58,False
2018-07-01,34,False
2018-07-08,50,False
2018-07-15,60,False
2018-07-22,47,False
2018-07-29,41,False
2018-08-05,55,False
2018-08-12,51,False
2018-08-19,39,False
2018-08-26,46,False
2018-09-02,38,False
2018-09-09,64,False
2018-09-16,59,False
2018-09-23,87,False
2018-09-30,45,False
2018-10-07,52,False
2018-10-14,53,False
2018-10-21,57,False
2018-10-28,53,False
2018-11-04,49,False
2018-11-11,26,False
2018-11-18,12,False
2018-11-25,45,False
2018-12-02,29,False
2018-12-09,34,False
2018-12-16,22,False
2018-12-23,27,False
2018-12-30,44,False
2019-01-06,50,False
2019-01-13,28,False
2019-01-20,81,False
2019-01-27,46,False
2019-02-03,35,False
2019-02-10,46,False
2019-02-17,51,False
2019-02-24,55,False
2019-03-03,38,False
2019-03-10,33,False
2019-03-17,47,False
2019-03-24,26,False
2019-03-31,40,False
2019-04-07,38,False
2019-04-14,44,False
2019-04-21,46,False
2019-04-28,45,False
2019-05-05,42,False
2019-05-12,47,False
2019-05-19,42,False
2019-05-26,21,False
2019-06-02,32,False
2019-06-09,30,False
2019-06-16,26,False
2019-06-23,35,False
2019-06-30,21,False
2019-07-07,58,False
2019-07-14,38,False
2019-07-21,44,False
2019-07-28,29,False
2019-08-04,36,False
2019-08-11,45,False
2019-08-18,23,False
2019-08-25,37,False
2019-09-01,34,False
2019-09-08,40,False
2019-09-15,36,False
2019-09-22,27,False
2019-09-29,49,False
2019-10-06,33,False
2019-10-13,22,False
2019-10-20,52,False
2019-10-27,42,False
2019-11-03,43,False
2019-11-10,22,False
2019-11-17,28,False
2019-11-24,24,False
2019-12-01,35,False
2019-12-08,44,False
2019-12-15,40,False
2019-12-22,36,False
2019-12-29,37,False
2020-01-05,40,False
2020-01-12,65,False
2020-01-19,89,False
2020-01-26,57,False
2020-02-02,46,False
2020-02-09,55,False
2020-02-16,33,False
2020-02-23,50,False
2020-03-01,42,False
2020-03-08,61,False
2020-03-15,62,False
2020-03-22,74,False
2020-03-29,60,False
2020-04-05,46,False
2020-04-12,57,False
2020-04-19,41,False
2020-04-26,80,False
2020-05-03,30,False
2020-05-10,42,False
2020-05-17,31,False
2020-05-24,19,False
2020-05-31,62,False
2020-06-07,40,False
2020-06-14,33,False
2020-06-21,33,False
2020-06-28,40,False
2020-07-05,41,False
2020-07-12,45,False
2020-07-19,46,False
2020-07-26,66,False
2020-08-02,35,False
2020-08-09,43,False
2020-08-16,24,False
2020-08-23,34,False
2020-08-30,29,False
2020-09-06,24,False
2020-09-13,65,False
2020-09-20,23,False
2020-09-27,14,False
2020-10-04,14,False
2020-10-11,19,False
2020-10-18,36,False
2020-10-25,44,False
2020-11-01,28,False
2020-11-08,42,False
2020-11-15,44,False
2020-11-22,27,False
2020-11-29,26,False
2020-12-06,31,False
2020-12-13,40,False
2020-12-20,21,False
2020-12-27,20,False
2021-01-03,39,False
2021-01-10,29,False
2021-01-17,25,False
2021-01-24,33,False
2021-01-31,29,False
2021-02-07,16,False
2021-02-14,27,False
2021-02-21,39,False
2021-02-28,29,False
2021-03-07,60,False
2021-03-14,37,False
2021-03-21,33,False
2021-03-28,17,False
2021-04-04,25,False
2021-04-11,27,False
2021-04-18,29,False
2021-04-25,41,False
2021-05-02,23,False
2021-05-09,26,False
2021-05-16,29,False
2021-05-23,23,False
2021-05-30,15,False
2021-06-06,19,False
2021-06-13,38,False
2021-06-20,21,False
2021-06-27,21,False
2021-07-04,33,False
2021-07-11,17,False
2021-07-18,31,False
2021-07-25,39,False
2021-08-01,31,False
2021-08-08,28,True
