date,ABMD,isPartial
2016-08-21,4,False
2016-08-28,0,False
2016-09-04,4,False
2016-09-11,16,False
2016-09-18,15,False
2016-09-25,11,False
2016-10-02,7,False
2016-10-09,11,False
2016-10-16,11,False
2016-10-23,11,False
2016-10-30,0,False
2016-11-06,7,False
2016-11-13,7,False
2016-11-20,4,False
2016-11-27,7,False
2016-12-04,7,False
2016-12-11,4,False
2016-12-18,8,False
2016-12-25,0,False
2017-01-01,7,False
2017-01-08,14,False
2017-01-15,10,False
2017-01-22,0,False
2017-01-29,7,False
2017-02-05,10,False
2017-02-12,3,False
2017-02-19,3,False
2017-02-26,10,False
2017-03-05,10,False
2017-03-12,7,False
2017-03-19,7,False
2017-03-26,10,False
2017-04-02,7,False
2017-04-09,4,False
2017-04-16,10,False
2017-04-23,14,False
2017-04-30,14,False
2017-05-07,14,False
2017-05-14,4,False
2017-05-21,0,False
2017-05-28,4,False
2017-06-04,0,False
2017-06-11,11,False
2017-06-18,14,False
2017-06-25,4,False
2017-07-02,11,False
2017-07-09,11,False
2017-07-16,15,False
2017-07-23,15,False
2017-07-30,0,False
2017-08-06,14,False
2017-08-13,4,False
2017-08-20,7,False
2017-08-27,11,False
2017-09-03,11,False
2017-09-10,7,False
2017-09-17,3,False
2017-09-24,7,False
2017-10-01,0,False
2017-10-08,3,False
2017-10-15,7,False
2017-10-22,24,False
2017-10-29,7,False
2017-11-05,27,False
2017-11-12,7,False
2017-11-19,10,False
2017-11-26,27,False
2017-12-03,3,False
2017-12-10,24,False
2017-12-17,11,False
2017-12-24,0,False
2017-12-31,14,False
2018-01-07,30,False
2018-01-14,20,False
2018-01-21,13,False
2018-01-28,26,False
2018-02-04,13,False
2018-02-11,20,False
2018-02-18,23,False
2018-02-25,19,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,13,False
2018-03-25,7,False
2018-04-01,23,False
2018-04-08,20,False
2018-04-15,20,False
2018-04-22,17,False
2018-04-29,30,False
2018-05-06,33,False
2018-05-13,40,False
2018-05-20,26,False
2018-05-27,36,False
2018-06-03,33,False
2018-06-10,35,False
2018-06-17,43,False
2018-06-24,55,False
2018-07-01,33,False
2018-07-08,23,False
2018-07-15,37,False
2018-07-22,67,False
2018-07-29,39,False
2018-08-05,19,False
2018-08-12,43,False
2018-08-19,13,False
2018-08-26,33,False
2018-09-02,48,False
2018-09-09,16,False
2018-09-16,32,False
2018-09-23,51,False
2018-09-30,13,False
2018-10-07,58,False
2018-10-14,23,False
2018-10-21,35,False
2018-10-28,48,False
2018-11-04,35,False
2018-11-11,35,False
2018-11-18,23,False
2018-11-25,28,False
2018-12-02,13,False
2018-12-09,6,False
2018-12-16,36,False
2018-12-23,11,False
2018-12-30,25,False
2019-01-06,32,False
2019-01-13,19,False
2019-01-20,3,False
2019-01-27,53,False
2019-02-03,28,False
2019-02-10,25,False
2019-02-17,22,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,25,False
2019-03-24,51,False
2019-03-31,13,False
2019-04-07,19,False
2019-04-14,33,False
2019-04-21,16,False
2019-04-28,54,False
2019-05-05,25,False
2019-05-12,9,False
2019-05-19,38,False
2019-05-26,9,False
2019-06-02,12,False
2019-06-09,25,False
2019-06-16,22,False
2019-06-23,35,False
2019-06-30,13,False
2019-07-07,28,False
2019-07-14,38,False
2019-07-21,26,False
2019-07-28,100,False
2019-08-04,45,False
2019-08-11,19,False
2019-08-18,25,False
2019-08-25,12,False
2019-09-01,18,False
2019-09-08,27,False
2019-09-15,6,False
2019-09-22,21,False
2019-09-29,9,False
2019-10-06,24,False
2019-10-13,9,False
2019-10-20,23,False
2019-10-27,45,False
2019-11-03,23,False
2019-11-10,15,False
2019-11-17,53,False
2019-11-24,17,False
2019-12-01,15,False
2019-12-08,27,False
2019-12-15,42,False
2019-12-22,13,False
2019-12-29,34,False
2020-01-05,49,False
2020-01-12,66,False
2020-01-19,37,False
2020-01-26,28,False
2020-02-02,45,False
2020-02-09,58,False
2020-02-16,25,False
2020-02-23,22,False
2020-03-01,13,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,15,False
2020-04-05,31,False
2020-04-12,10,False
2020-04-19,7,False
2020-04-26,33,False
2020-05-03,13,False
2020-05-10,10,False
2020-05-17,18,False
2020-05-24,29,False
2020-05-31,20,False
2020-06-07,10,False
2020-06-14,26,False
2020-06-21,13,False
2020-06-28,19,False
2020-07-05,22,False
2020-07-12,6,False
2020-07-19,34,False
2020-07-26,23,False
2020-08-02,33,False
2020-08-09,30,False
2020-08-16,14,False
2020-08-23,19,False
2020-08-30,19,False
2020-09-06,16,False
2020-09-13,5,False
2020-09-20,11,False
2020-09-27,8,False
2020-10-04,5,False
2020-10-11,11,False
2020-10-18,9,False
2020-10-25,17,False
2020-11-01,13,False
2020-11-08,14,False
2020-11-15,0,False
2020-11-22,11,False
2020-11-29,11,False
2020-12-06,14,False
2020-12-13,6,False
2020-12-20,22,False
2020-12-27,15,False
2021-01-03,6,False
2021-01-10,14,False
2021-01-17,11,False
2021-01-24,17,False
2021-01-31,25,False
2021-02-07,11,False
2021-02-14,11,False
2021-02-21,16,False
2021-02-28,19,False
2021-03-07,3,False
2021-03-14,3,False
2021-03-21,6,False
2021-03-28,9,False
2021-04-04,14,False
2021-04-11,6,False
2021-04-18,14,False
2021-04-25,11,False
2021-05-02,3,False
2021-05-09,14,False
2021-05-16,8,False
2021-05-23,3,False
2021-05-30,9,False
2021-06-06,8,False
2021-06-13,3,False
2021-06-20,6,False
2021-06-27,6,False
2021-07-04,9,False
2021-07-11,3,False
2021-07-18,3,False
2021-07-25,6,False
2021-08-01,9,False
2021-08-08,14,True
